Step,X,Y,Z,Species
0,24.585,17.88,2.235,FSDEE
0,22.35,20.115,2.235,FSDEE
0,24.585,17.88,0,FSDEE
0,22.35,17.88,2.235,FSDEE
0,23.4675,18.9975,1.1175,LiFSI
0,25.7025,18.9975,1.1175,FSDEE
0,23.4675,21.2325,1.1175,LiFSI
0,25.7025,21.2325,1.1175,FSDEE
0,25.7025,18.9975,3.3525,FSDEE
0,23.4675,21.2325,3.3525,FSDEE
0,25.7025,21.2325,3.3525,FSDEE
0,26.82,17.88,0,Li_Metal
0,29.055,20.115,2.235,Li_Metal
0,29.055,20.115,0,LiFSI
0,26.82,20.115,2.235,LiFSI
0,26.82,20.115,0,LiFSI
0,26.82,17.88,2.235,FSDEE
0,27.9375,18.9975,1.1175,FSDEE
0,30.1725,18.9975,1.1175,FSDEE
0,27.9375,21.2325,1.1175,LiFSI
0,27.9375,18.9975,3.3525,FSDEE
0,30.1725,21.2325,1.1175,FSDEE
0,30.1725,18.9975,3.3525,FSDEE
0,27.9375,21.2325,3.3525,FSDEE
0,31.29,17.88,0,Li_Metal
0,33.525,20.115,2.235,Li_Metal
0,33.525,17.88,2.235,FSDEE
0,33.525,17.88,0,LiFSI
0,31.29,20.115,0,FSDEE
0,31.29,17.88,2.235,LiFSI
0,32.4075,18.9975,1.1175,FSDEE
0,34.6425,18.9975,1.1175,FSDEE
0,32.4075,21.2325,1.1175,FSDEE
0,34.6425,21.2325,1.1175,LiFSI
0,34.6425,18.9975,3.3525,LiFSI
0,32.4075,21.2325,3.3525,FSDEE
0,34.6425,21.2325,3.3525,FSDEE
0,35.76,17.88,0,Li_Metal
0,37.995,20.115,2.235,Li_Metal
0,37.995,20.115,0,FSDEE
0,37.995,17.88,2.235,FSDEE
0,35.76,20.115,2.235,LiFSI
0,37.995,17.88,0,FSDEE
0,35.76,20.115,0,LiFSI
0,35.76,17.88,2.235,LiFSI
0,36.8775,18.9975,1.1175,FSDEE
